Alimento (por 100 gramos);Calorías (Kcal.);Carbohidratos (g.);Proteínas (g.);Grasas (g.);Fibra (g.)
Brócoli, cocido, congelado, sin agregar grasa al cocinar;28;5,32;3,08;0,12;3
Brotes de soja, cocidos, frescos, sin grasa añadida en la cocción;46;5,15;4,76;1,95;0,8
Brotes de soja, crudos;30;5,94;3,04;0,18;1,8
Budín de coco;111;17,37;2,89;3,43;0,5
Bullabesa;98;2,15;13,43;3,7;0,3
Buñuelo francés;412;59,5;3,1;18,3;1,2
Buñuelo, plátano;342;34,43;5,03;21,33;2,1
Buñuelos de bacalao;278;36,02;15,32;7,45;1,3
Buñuelos de maíz;394;40,81;8,24;22,57;2,2
Burrito con carne;242;14,44;13,03;14,48;1,2
Burrito de pollo;242;16,57;16,9;12,01;1,4
Burrito, taco o quesadilla con huevo;229;19,69;10,27;11,84;1,4
Butifarra;243;0;15;20;0
Caballa ahumada;200;0;25,54;10,04;0
Caballa cruda;189;0;19,08;11,91;0
Caballa enlatada;156;0;23,19;6,3;0
Caballo Carne;113;0;21;3;0
Cabra al horno;142;0;26,87;3;0
Cabra Carne;161;0;20;8;0
Cabra frita;153;0;26,46;4,52;0
Cabrito Carne;161;0;20;8;0
Cacahuetes sin tostar;567;16,13;25,8;49,24;8,5
Cacahuetes, tostados, salados;599;15,26;28,03;52,5;9,4
Cacahuetes, tostados, sin sal;599;15,26;28,03;52,5;9,4
Cacao Polvo;357;11;20;24;38
Café capuchino;27;2,7;1,68;1,03;0
Café Cubano;33;7,86;0,11;0,17;0
Café descafeinado;0;0;0,1;0;0
Café expreso;9;1,67;0,12;0,18;0
Café expreso descafeinado;9;1,69;0,1;0,18;0
Café Extracto, Polvo;82;8;11;0;0
Café Infusión;2;0;0;0;0
Café Instantáneo (soluble en polvo);100;11;15;0;0
Café irlandés;88;2,03;0,27;2,41;0
Café Torrefacto;183;2;13;13;66
Café, café con leche;39;5,64;1,64;1,08;0
Café, café con leche, descafeinado.;39;5,72;1,65;1,09;0
Calabacín;14;2,2;0,6;0,2;0,5
Calabaza, cocida, fresca, grasa no agregada en la cocción;20;4,88;0,72;0,07;1,1
Calamar crudo;92;3,08;15,58;1,38;0
Calamares enlatados;106;3,54;17,9;1,59;0
Caldo de pescado, receta casera;16;0;2,26;0,81;0
Caldo de pollo o pavo, caldo o consomé;6;0,44;0,64;0,21;0
Caldo de verduras, caldo;5;0,93;0,24;0,07;0
Callos, cocidos;89;0;12,6;3,85;0
Calzone, con carne y queso.;348;31,16;14,28;18,24;1,4
Camarones al vapor o hervidos;91;1,16;17,37;1,29;0
Canelones rellenos de queso y espinacas, sin salsa;158;17,41;6,95;6,71;1,2
Cangrejo de mar;124;13,28;19,5;5,1;0
Cangrejo de río, hervido o al vapor;81;0;16,66;1,19;0
Cangrejo enlatado;83;0;17,88;0,74;0
Cangrejo, al horno o a la parrilla, sin agregar grasa en la cocción;102;0,1;21,96;0,91;0
Caqui, crudo;70;18,59;0,58;0,19;3,6
Caracol Terrestre;86;2;16;1;0
Cardo;21;4;1;0;1
Carne Caballo;113;0;21;3;0
Carne Cabra;161;0;20;8;0
Carne Cabrito;161;0;20;8;0
Carne Cerdo, Grasa;329;0;16;30;0
Carne Cerdo, Magra;147;0;21;7;0
Carne Conejo;124;0;22;4;0
Carne Cordero, Chuleta;386;0;15;36;0
Carne Cordero, Magra;122;0;20;3;0
